
2025-01-01,10,9
2025-01-02,12,5
2025-01-03,16,10
2025-01-04,14,7
2025-01-05,20,12
2025-01-06,13,6
2025-01-07,15,3
2025-01-08,19,8
2025-01-09,11,4
2025-01-10,17,9
2025-01-11,14,5
2025-01-12,10,10
2025-01-13,18,6
2025-01-14,20,11
2025-01-15,16,8
2025-01-16,15,7
2025-01-17,12,6
2025-01-18,10,9
2025-01-19,14,10
2025-01-20,18,11
2025-01-21,13,5
2025-01-22,19,12
2025-01-23,11,3
2025-01-24,15,6
2025-01-25,16,8
2025-01-26,17,10
2025-01-27,14,4
2025-01-28,13,7
2025-01-29,11,6
2025-01-30,12,8
2025-01-31,18,9
